division,category,Matrisome Class / Protein Family,geneid,FlyBase Link,Gene Name,UniProt ID,UniProt Protein Name,InterPro Domains,Gene Ontology _Cellular component,Gene Ontology_Biological process,Human Orthologs,Other Gene Names,combined_orthology,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,Secreted Factors,,FBgn0003865,FBgn0003865,tsg,P54356,Protein twisted gastrulation,IPR006761,extracellular region [GO:0005576],"negative regulation of gene expression [GO:0010629]; regulation of BMP signaling pathway [GO:0030510]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; terminal region determination [GO:0007362]; torso signaling pathway [GO:0008293]; zygotic determination of anterior/posterior axis, embryo [GO:0007354]",,tsg CG1502,0,,
Drosophila Matrisome Genes,Collagens,Basement Membrane,FBgn0028573,FBgn0028573,prc,Q7YU48;Q9U617;Q9VTR6,Pericardin,IPR009765,proteinaceous extracellular matrix [GO:0005578],cell adhesion involved in heart morphogenesis [GO:0061343]; cell migration [GO:0016477]; establishment or maintenance of apical/basal cell polarity [GO:0035088]; heart development [GO:0007507]; larval heart development [GO:0007508]; morphogenesis of an epithelium [GO:0002009],COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,prc BEST:CK01593 CK01593 Dmel\CG5700 EC11 PC Pc pc PRC Prc CG5700 Dmel_CG5700,COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,,
Drosophila Matrisome Genes,ECM Glycoproteins,Basement Membrane,FBgn0001114,FBgn0001114,Glt,M9NCS8;P33438,Glutactin,IPR019819;IPR029058;IPR002018,basement membrane [GO:0005604]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; synapse [GO:0045202],defense response to other organism [GO:0098542]; modulation of synaptic transmission [GO:0050804]; motor neuron axon guidance [GO:0008045]; neuron cell-cell adhesion [GO:0007158]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; synaptic target inhibition [GO:0016201]; synaptic vesicle endocytosis [GO:0048488],,Glt CG9280,0,,
Drosophila Matrisome Genes,ECM Glycoproteins,Ciliary Matrix,FBgn0036995,FBgn0036995,atk,Q9VPF0,Protein artichoke,IPR003591;IPR001611;IPR000483;IPR032675,cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; proteinaceous extracellular matrix [GO:0005578],cilium assembly [GO:0060271]; locomotion [GO:0040011]; response to stimulus [GO:0050896]; sensory organ development [GO:0007423],CHAD; CHADL; CPN2,atk CG5195,CHAD; CHADL; CPN2,,
Drosophila Matrisome Genes,ECM Glycoproteins,,FBgn0011746,FBgn0011746,ana,A0A0B4LFV7;E1JH14;Q26307;Q95TB3,Protein anachronism,,extracellular region [GO:0005576],cell differentiation [GO:0030154]; nervous system development [GO:0007399],,ana CG8084,0,,
Drosophila Matrisome Genes,ECM Glycoproteins,,FBgn0261534,FBgn0261534,l(2)34Fc,Q9V3Y3;X2J8E8,Defense protein l(2)34Fc,IPR002861,extracellular region [GO:0005576],defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; innate immune response [GO:0045087]; negative regulation of immune response [GO:0050777],,l(2)34Fc CG7532,0,,
Drosophila Matrisome Genes,ECM Glycoproteins,,FBgn0011722,FBgn0011722,Tig,Q9VMD9;X2JDD7,Tiggrin,IPR016084,basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; proteinaceous extracellular matrix [GO:0005578],axon guidance [GO:0007411]; cell adhesion mediated by integrin [GO:0033627]; cell-substrate adhesion [GO:0031589]; phagocytosis [GO:0006909]; photoreceptor cell axon guidance [GO:0072499]; regulation of cell adhesion mediated by integrin [GO:0033628]; substrate adhesion-dependent cell spreading [GO:0034446],,Tig CG11527,0,,
Drosophila Matrisome Genes,ECM Glycoproteins,,FBgn0039257,FBgn0039257,tnc,D0UGE6,"Tenectin isoform 1 (Tenectin isoform 2) (Tenectin, isoform C) (Tenectin, isoform D)",IPR001007,extracellular matrix [GO:0031012]; extracellular space [GO:0005615],embryonic hindgut morphogenesis [GO:0048619]; epithelial tube morphogenesis [GO:0060562]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; imaginal disc-derived wing morphogenesis [GO:0007476]; regulation of tube diameter [GO:0035296],,tnc CG13648 Dmel_CG13648,0,,
Drosophila Matrisome Genes,ECM-affiliated,Clotting,FBgn0032773,FBgn0032773,fon,M9PDP3;Q8INW9;Q9VIX7,"Fondue, isoform A",,extracellular region [GO:0005576],hemolymph coagulation [GO:0042381]; metamorphosis [GO:0007552],,fon Dmel\CG15825 FON Fon CG15825 Dmel_CG15825,0,,
Drosophila Matrisome Genes,ECM-affiliated,Clotting,FBgn0027588,FBgn0027588,GCS2alpha,Q7KMM4,"BcDNA.GH04962 (Glucosidase 2 alpha subunit, isoform A) (Glucosidase 2 alpha subunit, isoform B) (EC 3.2.1.20) (Glucosidase 2 alpha subunit, isoform C) (Glucosidase 2 alpha subunit, isoform D) (Glucosidase 2 alpha subunit, isoform E)",IPR011013;IPR013780;IPR025887;IPR000322;IPR017853,endomembrane system [GO:0012505]; extracellular region [GO:0005576],,,GCS2alpha BcDNA.GH04962 CG14476 Dmel_CG14476,0,,
Drosophila Matrisome Genes,ECM-affiliated,Collagen-domain-containing Proteins,FBgn0036861,FBgn0036861,CG14089,Q9VVY2,Uncharacterized protein,IPR008160,,,,Dmel\CG14089 CG14089 Dmel_CG14089,0,,
Drosophila Matrisome Genes,ECM-affiliated,Collagen-domain-containing Proteins,FBgn0051268,FBgn0051268,CG31268,A0A0B4K670;Q8INA5,"Uncharacterized protein, isoform B",IPR008160,,,,CG31268 Dmel_CG31268,0,,
Drosophila Matrisome Genes,ECM-affiliated,Collagen-domain-containing Proteins,FBgn0051437,FBgn0051437,CG31437,Q8IMT0,Uncharacterized protein,IPR008160,,,,CG31437 Dmel_CG31437,0,,
Drosophila Matrisome Genes,ECM-affiliated,Collagen-domain-containing Proteins,FBgn0259244,FBgn0259244,CG42342,A0A0B4JDA4;A0A0B4JDF5;A0A0B4K668;A0A0B4K6A0;A0A0B4K7C8;A0A0B4KGA1;A0A0B4KH90;B7Z0K8;E1JIM8,Collagen alpha chain CG42342,IPR008160,collagen trimer [GO:0005581]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,COLQ; VWA1; VWA2; COL11A1; COL11A2; COL13A1; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL21A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,CG42342,COLQ; VWA1; VWA2; COL11A1; COL11A2; COL13A1; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL21A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,,
Drosophila Matrisome Genes,ECM-affiliated,Collagen-domain-containing Proteins,FBgn0038468,FBgn0038468,CG5225,Q9VEP4,CG5225,IPR008160,,,COL18A1; C1QTNF2; C1QTNF7,CG5225 Dmel_CG5225,COL18A1; C1QTNF2; C1QTNF7,,
Drosophila Matrisome Genes,ECM-affiliated,Collagen-domain-containing Proteins,FBgn0030887,FBgn0030887,CG6867,Q8IGN3;Q9VWZ7,CG6867 (FI21454p1),IPR003599;IPR003598;IPR036179;IPR007110;IPR013783;IPR008160;IPR003112,integral component of membrane [GO:0016021],motor neuron axon guidance [GO:0008045]; synaptic target inhibition [GO:0016201],,CG6867-RA CG6867 Dmel_CG6867,0,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0035452,FBgn0035452,CG10359,B7Z0B2;B7Z0B3;Q95S38;Q9VZN7,"Uncharacterized protein, isoform G",IPR002181;IPR036056,membrane [GO:0016020],G-protein coupled receptor signaling pathway [GO:0007186],FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,Dmel\CG10359 AAF47782 FBpp0072995 CG10359 Dmel_CG10359,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0030163,FBgn0030163,CG1791,M9PHH5;Q8MR72;Q9W302,"GH05783p (Uncharacterized protein, isoform B) (EC 1.13.11.-) (EC 1.14.11.2) (Uncharacterized protein, isoform C)",IPR002181;IPR036056,extracellular space [GO:0005615],negative regulation of apoptotic process [GO:0043066],FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG1791 Dmel_CG1791,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0050280,FBgn0050280,CG30280,E1JGS1;E2RTZ8,"Uncharacterized protein, isoform B",IPR002181;IPR020837;IPR036056,membrane [GO:0016020],G-protein coupled receptor signaling pathway [GO:0007186],FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG30280 Dmel_CG30280,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0087011,FBgn0087011,CG41520,A8QHX1;E8Z4Z5;E8Z4Z6;Q5BIB8,"Uncharacterized protein, isoform D",IPR002181;IPR014716;IPR014715;IPR036056,extracellular space [GO:0005615],activation of transmembrane receptor protein tyrosine kinase activity [GO:0007171]; negative regulation of apoptotic process [GO:0043066],FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG41520 Dmel_CG41520,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0030880,FBgn0030880,CG6788,Q9VX04,CG6788 (LP06940p),IPR002181;IPR020837;IPR036056,,,FGA; FGB; FGG; FGL1; FGL2; FNDC7; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG6788 Dmel_CG6788,FGA; FGB; FGG; FGL1; FGL2; FNDC7; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0033312,FBgn0033312,CG8642,A1Z7G6,CG8642 (Fragment),IPR002181;IPR020837;IPR036056,membrane [GO:0016020],G-protein coupled receptor signaling pathway [GO:0007186],FGA; FGB; FGG; FGL1; FGL2; FN1; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG8642 Dmel_CG8642,FGA; FGB; FGG; FGL1; FGL2; FN1; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0031804,FBgn0031804,CG9500,Q9VME7,CG9500,IPR002181;IPR036056,,,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,Dmel\CG9500 AAF52372 FBpp0078910 CG9500 Dmel_CG9500,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0038365,FBgn0038365,CG9593,Q9VF34,CG9593,IPR002181;IPR036056,extracellular space [GO:0005615],negative regulation of apoptotic process [GO:0043066],FGA; FGB; FGG; FGL1; FGL2; FNDC7; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG9593 Dmel_CG9593,FGA; FGB; FGG; FGL1; FGL2; FNDC7; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Fibrinogen-domain-containing Proteins,FBgn0003326,FBgn0003326,sca,P21520,Protein scabrous,IPR002181;IPR020837;IPR036056,extracellular region [GO:0005576]; late endosome [GO:0005770],chaeta morphogenesis [GO:0008407]; compound eye development [GO:0048749]; female meiosis chromosome segregation [GO:0016321]; imaginal disc-derived wing margin morphogenesis [GO:0008587]; lateral inhibition [GO:0046331]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; ommatidial rotation [GO:0016318]; R8 cell fate commitment [GO:0007460]; regulation of R8 cell spacing in compound eye [GO:0045468]; response to alcohol [GO:0097305],FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,sca CG17579,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,Synaptic Matrix,FBgn0032797,FBgn0032797,Hasp,B7YZX0;Q058W1;Q8INW2;Q9VIU9,"Hig-anchoring scaffold protein, isoform C",IPR007110;IPR036179;IPR013783;IPR000436;IPR035976;IPR008197,synaptic cleft [GO:0043083],,SVEP1; F13B,Hasp anon-EST:Posey189 CT28647 Dmel\CG10186 hasp CG10186 Dmel_CG10186,SVEP1; F13B,,
Drosophila Matrisome Genes,ECM-affiliated,Synaptic Matrix,FBgn0010114,FBgn0010114,hig,Q09101,Locomotion-related protein Hikaru genki,IPR035976;IPR007110;IPR036179;IPR013783;IPR000436,neuronal cell body [GO:0043025]; synaptic cleft [GO:0043083],synaptic target recognition [GO:0008039],F13B,hig CG2040,F13B,,
Drosophila Matrisome Genes,ECM-affiliated,,FBgn0000071,FBgn0000071,Ama,A4V2I0;P15364;Q7KSX2,Protein amalgam,IPR003599;IPR007110;IPR036179;IPR013098;IPR003598;IPR013783,anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; septate junction [GO:0005918],septate junction assembly [GO:0019991],PAPLN,Ama CG2198,PAPLN,,
Drosophila Matrisome Genes,ECM-affiliated,,FBgn0030164,FBgn0030164,CG1889,M9PH45;Q8IRM2;Q9W301,"FI20258p1 (Uncharacterized protein, isoform B) (Uncharacterized protein, isoform C)",IPR002181;IPR036056,membrane [GO:0016020],G-protein coupled receptor signaling pathway [GO:0007186],FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,CG1889 Dmel_CG1889,FGA; FGB; FGG; FGL1; FGL2; MFAP4; TNC; TNN; TNR; TNXB; FCN1; FCN2; FCN3; ANGPT1; ANGPT2; ANGPT4; ANGPTL1; ANGPTL2; ANGPTL3; ANGPTL4; ANGPTL5; ANGPTL6; ANGPTL7,,
Drosophila Matrisome Genes,ECM-affiliated,,FBgn0261269,FBgn0261269,conv,A1Z9N6,"Acid labile subunit (Convoluted, isoform A) (Convoluted, isoform B)",IPR003591;IPR001611;IPR032675;IPR026906,integral component of membrane [GO:0016021],"defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; motor neuron axon guidance [GO:0008045]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; open tracheal system development [GO:0007424]; positive regulation of cytokine production [GO:0001819]; regulation of cytokine secretion [GO:0050707]; regulation of tube length, open tracheal system [GO:0035159]; regulation of tube size, open tracheal system [GO:0035151]; toll-like receptor 5 signaling pathway [GO:0034146]",IGFALS; NYX,conv Als CG8561 Dmel_CG8561,IGFALS; NYX,,
Drosophila Matrisome Genes,ECM-affiliated,,FBgn0035539,FBgn0035539,slow,Q95RQ1,"LD16414p (Slowdown, isoform A) (Slowdown, isoform B)",IPR000152;IPR018097;IPR011489;IPR000742;IPR001881;IPR013032,muscle tendon junction [GO:0005927],muscle attachment [GO:0016203]; regulation of imaginal disc-derived wing size [GO:0044719]; synaptic target recognition [GO:0008039],NPNT; CFC1; CFC1B; EGFL6; EGFL7; EGFL8; TDGF1,slow blr CT22877 Dmel\CG7447 slomo Slow CG7447 Dmel_CG7447,NPNT; CFC1; CFC1B; EGFL6; EGFL7; EGFL8; TDGF1,,
Drosophila Matrisome Genes,ECM Regulators,,FBgn0000808,FBgn0000808,gd,O62589,Serine protease gd (EC 3.4.21.-) (Protein gastrulation defective),IPR009003;IPR001254;IPR031986,extracellular region [GO:0005576],"dorsal/ventral axis specification [GO:0009950]; maternal specification of dorsal/ventral axis, oocyte, germ-line encoded [GO:0007311]; protein processing [GO:0016485]; proteolysis [GO:0006508]; Toll signaling pathway [GO:0008063]",,gd CG1505,0,,
Drosophila Matrisome Genes,Secreted Factors,Spaetzle Family,FBgn0261526,FBgn0261526,NT1,B7TB45;Q8MS13;Q9VZA9,Neurotrophin 1 (Neurotrophic factor 1) (Protein spaetzle 2) (Protein spatzle 2),IPR032104;IPR029034,extracellular region [GO:0005576],axon guidance [GO:0007411]; central nervous system formation [GO:0021556]; motor neuron axon guidance [GO:0008045]; nervous system development [GO:0007399]; regulation of cell death [GO:0010941]; regulation of neuronal synaptic plasticity in response to neurotrophin [GO:0031637]; Toll signaling pathway [GO:0008063],,NT1 DNT1 spz2 CG42576,0,,
Drosophila Matrisome Genes,Secreted Factors,Spaetzle Family,FBgn0003495,FBgn0003495,spz,A1Z0H7;P48607;Q6V6V8;Q6V6V9;Q8IG88;Q8IMP8,Protein spaetzle [Cleaved into: Protein spaetzle C-106],IPR032104;IPR029034,extracellular region [GO:0005576]; extracellular space [GO:0005615]; protein complex [GO:0043234],"antifungal humoral response [GO:0019732]; defense response [GO:0006952]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; dorsal/ventral axis specification [GO:0009950]; dorsal/ventral pattern formation [GO:0009953]; embryonic axis specification [GO:0000578]; immune response [GO:0006955]; innate immune response [GO:0045087]; killing of cells of other organism [GO:0031640]; larval somatic muscle development [GO:0007526]; maternal specification of dorsal/ventral axis, oocyte, germ-line encoded [GO:0007311]; motor neuron axon guidance [GO:0008045]; oocyte dorsal/ventral axis specification [GO:0007310]; positive regulation of antifungal peptide biosynthetic process [GO:0006967]; positive regulation of antimicrobial peptide production [GO:0002225]; positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria [GO:0006965]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of Toll signaling pathway [GO:0045752]; regulation of Toll signaling pathway [GO:0008592]; response to fungus [GO:0009620]; Toll signaling pathway [GO:0008063]",,spz CG6134,0,,
Drosophila Matrisome Genes,Secreted Factors,Spaetzle Family,FBgn0031959,FBgn0031959,spz3,Q9VLV7,Protein spaetzle 3 (Protein spatzle 3),IPR032104;IPR029034,extracellular region [GO:0005576],Toll signaling pathway [GO:0008063],,spz3 CG7104,0,,
Drosophila Matrisome Genes,Secreted Factors,Spaetzle Family,FBgn0032362,FBgn0032362,spz4,Q9VKG9,Protein spaetzle 4 (Protein spatzle 4),IPR032104;IPR029034,extracellular region [GO:0005576],immune system process [GO:0002376]; Toll signaling pathway [GO:0008063],,spz4 CG14928,0,,
Drosophila Matrisome Genes,Secreted Factors,Spaetzle Family,FBgn0035379,FBgn0035379,spz5,Q9VZX1,Protein spaetzle 5 (Neurotrophic factor 2) (Protein spatzle 5),IPR032104;IPR029034,extracellular region [GO:0005576],axon guidance [GO:0007411]; central nervous system formation [GO:0021556]; motor neuron axon guidance [GO:0008045]; nervous system development [GO:0007399]; regulation of cell death [GO:0010941]; regulation of neuronal synaptic plasticity in response to neurotrophin [GO:0031637]; Toll signaling pathway [GO:0008063],,spz5 DNT1 NT2 CG9972,0,,
Drosophila Matrisome Genes,Secreted Factors,Spaetzle Family,FBgn0035056,FBgn0035056,spz6,Q8MQZ4;Q9W116,RE45222p (Spatzle 6),IPR029034,extracellular region [GO:0005576],Toll signaling pathway [GO:0008063],,spz6 CG9196 Dmel_CG9196,0,,
Drosophila Matrisome Genes,Secreted Factors,Unpaired Family,FBgn0004956,FBgn0004956,upd1,O96525;Q8MZC7;Q9VWW4,"Outstretched (Unpaired 1, isoform A) (Unpaired 1, isoform B) (Unpaired 1, isoform C)",IPR031901,apical part of cell [GO:0045177]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular [GO:0005622]; proteinaceous extracellular matrix [GO:0005578],"apical constriction [GO:0003383]; blastoderm segmentation [GO:0007350]; border follicle cell migration [GO:0007298]; compound eye morphogenesis [GO:0001745]; defense response to Gram-negative bacterium [GO:0050829]; embryonic development via the syncytial blastoderm [GO:0001700]; eye-antennal disc morphogenesis [GO:0007455]; foregut morphogenesis [GO:0007440]; germ-line stem cell division [GO:0042078]; hindgut morphogenesis [GO:0007442]; intestinal epithelial structure maintenance [GO:0060729]; intestinal stem cell homeostasis [GO:0036335]; JAK-STAT cascade [GO:0007259]; locomotor rhythm [GO:0045475]; long-term memory [GO:0007616]; male germ-line stem cell population maintenance [GO:0036098]; mediolateral intercalation [GO:0060031]; negative regulation of innate immune response [GO:0045824]; ovarian follicle cell development [GO:0030707]; paracrine signaling [GO:0038001]; positive regulation of activation of Janus kinase activity [GO:0010536]; positive regulation of JAK-STAT cascade [GO:0046427]; primary sex determination [GO:0007538]; regulation of embryonic cell shape [GO:0016476]; regulation of imaginal disc-derived wing size [GO:0044719]; sex determination [GO:0007530]; sex determination, establishment of X:A ratio [GO:0007540]; somatic stem cell division [GO:0048103]; stem cell division [GO:0017145]; synaptic target recognition [GO:0008039]",,upd1 os CG5993 Dmel_CG5993,0,,
Drosophila Matrisome Genes,Secreted Factors,Unpaired Family,FBgn0030904,FBgn0030904,upd2,Q9VWX2,RT06576p1 (RT12650p1) (Unpaired 2),IPR031901,extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular [GO:0005622],embryonic development via the syncytial blastoderm [GO:0001700]; intestinal epithelial structure maintenance [GO:0060729]; JAK-STAT cascade [GO:0007259]; paracrine signaling [GO:0038001]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of multicellular organism growth [GO:0040018]; segment specification [GO:0007379],,upd2 upd2-RB CG5988 Dmel_CG5988,0,,
Drosophila Matrisome Genes,Secreted Factors,Unpaired Family,FBgn0053542,FBgn0053542,upd3,Q59E38,FI03911p (Unpaired 3),IPR031901,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; intracellular [GO:0005622],antimicrobial humoral response [GO:0019730]; embryonic development via the syncytial blastoderm [GO:0001700]; immune response [GO:0006955]; intestinal epithelial structure maintenance [GO:0060729]; intestinal stem cell homeostasis [GO:0036335]; JAK-STAT cascade [GO:0007259]; oogenesis [GO:0048477]; paracrine signaling [GO:0038001]; positive regulation of cell proliferation [GO:0008284]; positive regulation of JAK-STAT cascade [GO:0046427]; regulation of imaginal disc-derived wing size [GO:0044719]; regulation of JAK-STAT cascade [GO:0046425],,upd3 upd3-RB CG33542 Dmel_CG33542,0,,
